ID;Start time;Completion time;Email;Name;Last modified time;"Ποια είναι η ηλικιακή σας ομάδα;
";"Ποιο είναι το φύλο σας;
";"Ποια είναι η επαγγελματική σας ιδιότητα;
";"Έχετε προηγούμενη εμπειρία με την τεχνητή νοημοσύνη;
";"Έχετε ασχοληθεί ποτέ με επενδύσεις ή συναλλαγές κρυπτονομισμάτων;
";Αυτόνομη οδήγηση;Αυτόνομη πτήση (σε εμπορικά αεροσκάφη);Υγειονομική περίθαλψη (διάγνωση ή θεραπεία);Συναλλαγές και επενδύσεις;Διαχείριση προσωπικών χρημάτων;"Θα εμπιστευόσασταν ένα μοντέλο τεχνητής νοημοσύνης να διαχειριστεί εξ ολοκλήρου τις επενδύσεις σας;
";"Τι πιστεύετε ότι είναι το μεγαλύτερο πλεονέκτημα της τεχνητής νοημοσύνης στις επενδύσεις;
";"Ποιο θεωρείτε το μεγαλύτερο μειονέκτημα της τεχνητής νοημοσύνης στις επενδύσεις;
";"Πιστεύετε ότι η τεχνητή νοημοσύνη είναι πιο αξιόπιστη από τους ανθρώπους στις επενδύσεις;
";"Ποιον θα εμπιστευόσασταν περισσότερο για τη διαχείριση των επενδύσεών σας;
";"Σε ποια από τις ακόλουθες καταστάσεις θεωρείτε ότι η τεχνητή νοημοσύνη υπερέχει σε σχέση με τους ανθρώπους;
";"Σε ποιες από τις ακόλουθες καταστάσεις θεωρείτε ότι οι άνθρωποι υπερέχουν σε σχέση με την τεχνητή νοημοσύνη;";"Θα ήσασταν πρόθυμοι να χρησιμοποιήσετε ένα συνδυαστικό μοντέλο όπου η τεχνητή νοημοσύνη συνεργάζεται με έναν άνθρωπο επενδυτή;
";"Θεωρείτε ότι η τεχνητή νοημοσύνη θα αντικαταστήσει πλήρως τους ανθρώπινους επενδυτές στο μέλλον;
";"Τι σας ανησυχεί περισσότερο σχετικά με τη χρήση της τεχνητής νοημοσύνης στις επενδύσεις;
";"Θεωρείτε την τεχνητή νοημοσύνη δίκαιη και αντικειμενική στη λήψη αποφάσεων;
";"Θα πληρώνατε για τη χρήση μιας υπηρεσίας τεχνητής νοημοσύνης για τη διαχείριση των επενδύσεών σας;
";"Ποιο ποσοστό των συνολικών επενδύσεών σας θα ήσασταν πρόθυμοι να αφήσετε στη διαχείριση μιας τεχνητής νοημοσύνης;
";Ταχύτητα λήψης αποφάσεων;Ακρίβεια προβλέψεων;Ανθεκτικότητα σε στρεσογόνες συνθήκες;Εμπιστοσύνη στη διαχείριση μεγάλων χρηματικών ποσών;"Θα εμπιστευόσασταν την τεχνητή νοημοσύνη να λαμβάνει επενδυτικές αποφάσεις σε μια οικονομική κρίση;
"
11;12/25/24 18:17:08;12/25/24 18:23:20;anonymous;;;31-40;Γυναίκα;Νοσηλεύτρια ;Καθόλου;Όχι;2;1;3;2;1;Ίσως;"Ταχύτερη ανάλυση δεδομένων;";"Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;";Εξαρτάται από την περίπτωση;Και τα δύο εξίσου;"Γρήγορη ανάλυση δεδομένων;Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;";"Ερμηνεία μη ποσοτικών δεδομένων (π.χ. συναισθήματα της αγοράς);";Ναι;Ναι;"Κίνδυνος τεχνικών σφαλμάτων;Ανησυχίες για ασφάλεια και ιδιωτικότητα;";Όχι, οι αποφάσεις της μπορεί να επηρεάζονται από προκαταλήψεις στα δεδομένα;Εξαρτάται από το κόστος;1-25%;3;3;3;2;Δεν είμαι σίγουρος/η
12;12/25/24 18:16:32;12/25/24 18:24:13;anonymous;;;31-40;Άνδρας;Επιχειρηματίας ;Καθόλου;Ναι, συχνά;2;4;3;5;4;Ίσως;"Ταχύτερη ανάλυση δεδομένων;Πρόβλεψη τάσεων της αγοράς;";"Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;";Ναι;Και τα δύο εξίσου;"Αποφυγή απάτης;Γρήγορη ανάλυση δεδομένων;";"Δημιουργικότητα στις στρατηγικές επενδύσεων;";Δεν είμαι σίγουρος/η;Ίσως;"Κίνδυνος τεχνικών σφαλμάτων;Αδυναμία κατανόησης σύνθετων συνθηκών αγοράς;";Όχι, καθώς ο προγραμματισμός της μπορεί να περιέχει προκαταλήψεις ή σφάλματα;Εξαρτάται από το κόστος;1-25%;5;4;5;3;Δεν είμαι σίγουρος/η
13;12/25/24 18:26:07;12/25/24 18:29:24;anonymous;;;21-30;Γυναίκα;Εκπαιδευτικός;Καθόλου;Όχι;3;3;3;3;3;Όχι;"Αποφυγή συναισθηματικών λαθών;Πρόβλεψη τάσεων της αγοράς;";"Εξάρτηση από δεδομένα του παρελθόντος;Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;";Εξαρτάται από την περίπτωση;Έναν έμπειρο επενδυτή;"Αποφυγή απάτης;Γρήγορη ανάλυση δεδομένων;";"Προσαρμογή σε μη αναμενόμενες καταστάσεις;Δημιουργικότητα στις στρατηγικές επενδύσεων;";Ναι;Ίσως;"Αδυναμία κατανόησης σύνθετων συνθηκών αγοράς;Χρήση αναξιόπιστων δεδομένων;";Ναι, τις περισσότερες φορές;Εξαρτάται από το κόστος;1-25%;4;3;4;2;Δεν είμαι σίγουρος/η
14;12/25/24 18:26:02;12/25/24 18:29:48;anonymous;;;21-30;Γυναίκα;Εκπαιδευτικός ;Μέτρια;Όχι;3;3;4;4;4;Ίσως;"Ταχύτερη ανάλυση δεδομένων;Αποφυγή συναισθηματικών λαθών;";"Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;";Ναι;Την τεχνητή νοημοσύνη;"Γρήγορη ανάλυση δεδομένων;Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;";"Προσαρμογή σε μη αναμενόμενες καταστάσεις;Δημιουργικότητα στις στρατηγικές επενδύσεων;";Ναι;Ναι;"Κίνδυνος τεχνικών σφαλμάτων;Αδυναμία κατανόησης σύνθετων συνθηκών αγοράς;";Όχι, καθώς ο προγραμματισμός της μπορεί να περιέχει προκαταλήψεις ή σφάλματα;Ναι;51-75%;4;4;5;4;Δεν είμαι σίγουρος/η
15;12/25/24 18:26:26;12/25/24 18:30:25;anonymous;;;21-30;Γυναίκα;Μεταπτυχιακή Φοιτήτρια, ιδιωτικός τομέας ;Ελάχιστη;Όχι;3;1;3;4;3;Όχι;"Ταχύτερη ανάλυση δεδομένων;Πρόβλεψη τάσεων της αγοράς;";"Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;";Εξαρτάται από την περίπτωση;Κανέναν;"Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;Ανίχνευση επενδυτικών ευκαιριών;";"Ερμηνεία μη ποσοτικών δεδομένων (π.χ. συναισθήματα της αγοράς);Δημιουργικότητα στις στρατηγικές επενδύσεων;";Δεν είμαι σίγουρος/η;Ναι;"Κίνδυνος τεχνικών σφαλμάτων;Αδυναμία κατανόησης σύνθετων συνθηκών αγοράς;";Όχι, οι αποφάσεις της μπορεί να επηρεάζονται από προκαταλήψεις στα δεδομένα;Εξαρτάται από το κόστος;1-25%;3;3;2;2;Δεν είμαι σίγουρος/η
16;12/25/24 18:25:57;12/25/24 18:31:18;anonymous;;;21-30;Άνδρας;Άνεργος/Άνεργη;Μέτρια;Όχι;1;1;2;2;1;Όχι;"Καλύτερη διαχείριση κινδύνου;Πρόβλεψη τάσεων της αγοράς;";"Έλλειψη διαφάνειας στη λήψη αποφάσεων;Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;";Εξαρτάται από την περίπτωση;Έναν έμπειρο επενδυτή;"Αποφυγή απάτης;Γρήγορη ανάλυση δεδομένων;";"Λήψη ηθικών αποφάσεων;Ερμηνεία μη ποσοτικών δεδομένων (π.χ. συναισθήματα της αγοράς);";Ναι;Ίσως;"Ανησυχίες για ασφάλεια και ιδιωτικότητα;Αδυναμία κατανόησης σύνθετων συνθηκών αγοράς;";Όχι, οι αποφάσεις της μπορεί να επηρεάζονται από προκαταλήψεις στα δεδομένα;Όχι;0% (Καθόλου);4;3;1;1;Όχι
17;12/25/24 18:28:18;12/25/24 18:32:12;anonymous;;;31-40;Άνδρας;Δημόσιος υπάλληλος ;Ελάχιστη;Ναι, συχνά;3;3;2;2;2;Όχι;"Ταχύτερη ανάλυση δεδομένων;Αποφυγή συναισθηματικών λαθών;";"Έλλειψη διαφάνειας στη λήψη αποφάσεων;Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;";Όχι;Έναν έμπειρο επενδυτή;"Γρήγορη ανάλυση δεδομένων;Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;";"Ερμηνεία μη ποσοτικών δεδομένων (π.χ. συναισθήματα της αγοράς);";Ναι;Όχι;"Κίνδυνος τεχνικών σφαλμάτων;Ανησυχίες για ασφάλεια και ιδιωτικότητα;";Όχι, καθώς ο προγραμματισμός της μπορεί να περιέχει προκαταλήψεις ή σφάλματα;Όχι;0% (Καθόλου);5;3;5;2;Όχι
18;12/25/24 18:28:03;12/25/24 18:32:33;anonymous;;;Άνω των 50;Άνδρας;Επαγγελματίας στον τομέα της τεχνολογίας;Μέτρια;Ναι, συχνά;1;1;2;1;1;Όχι;"Ταχύτερη ανάλυση δεδομένων;Αποφυγή συναισθηματικών λαθών;";"Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;";Όχι;Έναν έμπειρο επενδυτή;"Γρήγορη ανάλυση δεδομένων;Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;";"Προσαρμογή σε μη αναμενόμενες καταστάσεις;Ερμηνεία μη ποσοτικών δεδομένων (π.χ. συναισθήματα της αγοράς);";Ναι;Όχι;"Χρήση αναξιόπιστων δεδομένων;Αδυναμία κατανόησης σύνθετων συνθηκών αγοράς;";Όχι, καθώς ο προγραμματισμός της μπορεί να περιέχει προκαταλήψεις ή σφάλματα;Ναι;1-25%;5;3;5;3;Δεν είμαι σίγουρος/η
19;12/25/24 18:28:36;12/25/24 18:32:52;anonymous;;;31-40;Γυναίκα;Επαγγελματίας στον τομέα των οικονομικών;Ελάχιστη;Όχι;3;3;4;4;4;Ναι;"Πρόβλεψη τάσεων της αγοράς;Ταχύτερη ανάλυση δεδομένων;";"Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;Εξάρτηση από δεδομένα του παρελθόντος;";Ναι;Την τεχνητή νοημοσύνη;"Γρήγορη ανάλυση δεδομένων;Αποφυγή απάτης;";"Ερμηνεία μη ποσοτικών δεδομένων (π.χ. συναισθήματα της αγοράς);Λήψη ηθικών αποφάσεων;";Ναι;Όχι;"Αδυναμία κατανόησης σύνθετων συνθηκών αγοράς;Χρήση αναξιόπιστων δεδομένων;";Ναι, τις περισσότερες φορές;Ναι;1-25%;5;4;4;4;Ναι
20;12/25/24 18:26:07;12/25/24 18:35:07;anonymous;;;31-40;Άνδρας;Επαγγελματίας στον τομέα των οικονομικών;Ελάχιστη;Όχι;2;2;2;2;2;Όχι;"Ταχύτερη ανάλυση δεδομένων;Καλύτερη διαχείριση κινδύνου;";"Εξάρτηση από δεδομένα του παρελθόντος;Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;";Όχι;Κανέναν;"Γρήγορη ανάλυση δεδομένων;";"Προσαρμογή σε μη αναμενόμενες καταστάσεις;";Ναι;Ίσως;"Χρήση αναξιόπιστων δεδομένων;";Όχι, καθώς ο προγραμματισμός της μπορεί να περιέχει προκαταλήψεις ή σφάλματα;Εξαρτάται από το κόστος;1-25%;2;2;3;2;Δεν είμαι σίγουρος/η
21;12/25/24 18:29:30;12/25/24 18:36:22;anonymous;;;41-50;Άνδρας;Επαγγελματίας στον τομέα των οικονομικών;Προχωρημένη;Όχι;4;5;5;4;5;Όχι;"Πρόβλεψη τάσεων της αγοράς;";"Έλλειψη διαφάνειας στη λήψη αποφάσεων;";Όχι;Έναν έμπειρο επενδυτή;"Γρήγορη ανάλυση δεδομένων;Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;";"Ερμηνεία μη ποσοτικών δεδομένων (π.χ. συναισθήματα της αγοράς);Δημιουργικότητα στις στρατηγικές επενδύσεων;Λήψη ηθικών αποφάσεων;";Ναι;Ίσως;"Έλλειψη διαφάνειας στη λήψη αποφάσεων;Ανησυχίες για ασφάλεια και ιδιωτικότητα;";Ναι, τις περισσότερες φορές;Όχι;0% (Καθόλου);4;4;5;2;Δεν είμαι σίγουρος/η
22;12/25/24 18:32:25;12/25/24 18:36:37;anonymous;;;21-30;Γυναίκα;Φοιτητής/Φοιτήτρια;Καθόλου;Όχι;3;3;3;4;2;Ίσως;"Αποφυγή συναισθηματικών λαθών;";"Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;";Όχι;Έναν έμπειρο επενδυτή;"Γρήγορη ανάλυση δεδομένων;Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;";"Προσαρμογή σε μη αναμενόμενες καταστάσεις;Ερμηνεία μη ποσοτικών δεδομένων (π.χ. συναισθήματα της αγοράς);Λήψη ηθικών αποφάσεων;";Ναι;Όχι;"Χρήση αναξιόπιστων δεδομένων;Κίνδυνος τεχνικών σφαλμάτων;";Όχι, οι αποφάσεις της μπορεί να επηρεάζονται από προκαταλήψεις στα δεδομένα;Εξαρτάται από το κόστος;1-25%;4;2;3;2;Όχι
23;12/25/24 18:29:51;12/25/24 18:36:56;anonymous;;;41-50;Γυναίκα;Επαγγελματίας στον τομέα της τεχνολογίας;Ελάχιστη;Όχι;2;2;2;4;3;Ίσως;"Καλύτερη διαχείριση κινδύνου;Αποφυγή συναισθηματικών λαθών;";"Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;";Εξαρτάται από την περίπτωση;Και τα δύο εξίσου;"Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;Γρήγορη ανάλυση δεδομένων;";"Λήψη ηθικών αποφάσεων;Προσαρμογή σε μη αναμενόμενες καταστάσεις;";Ναι;Ίσως;"Ανησυχίες για ασφάλεια και ιδιωτικότητα;Αδυναμία κατανόησης σύνθετων συνθηκών αγοράς;";Όχι, οι αποφάσεις της μπορεί να επηρεάζονται από προκαταλήψεις στα δεδομένα;Εξαρτάται από το κόστος;1-25%;5;3;4;3;Δεν είμαι σίγουρος/η
24;12/25/24 18:31:41;12/25/24 18:37:03;anonymous;;;31-40;Γυναίκα;Φιλόλογος ;Ελάχιστη;Όχι;3;3;3;3;3;Ίσως;"Αποφυγή συναισθηματικών λαθών;Πρόβλεψη τάσεων της αγοράς;";"Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;";Εξαρτάται από την περίπτωση;Και τα δύο εξίσου;"Ανίχνευση επενδυτικών ευκαιριών;Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;";"Προσαρμογή σε μη αναμενόμενες καταστάσεις;Λήψη ηθικών αποφάσεων;";Ναι;Ίσως;"Αδυναμία κατανόησης σύνθετων συνθηκών αγοράς;";Ναι, τις περισσότερες φορές;Ναι;26-50%;4;3;4;3;Ναι
25;12/25/24 18:38:10;12/25/24 18:40:53;anonymous;;;Κάτω από 20;Άνδρας;Φοιτητής/Φοιτήτρια;Μέτρια;Όχι;1;3;3;4;1;Όχι;"Ταχύτερη ανάλυση δεδομένων;Πρόβλεψη τάσεων της αγοράς;";"Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;";Όχι;Έναν έμπειρο επενδυτή;"Γρήγορη ανάλυση δεδομένων;Ανίχνευση επενδυτικών ευκαιριών;";"Δεν θεωρώ ότι υπερέχουν σε κάποια από αυτές;";Ναι;Όχι;"Κίνδυνος τεχνικών σφαλμάτων;Ανησυχίες για ασφάλεια και ιδιωτικότητα;";Ναι, τις περισσότερες φορές;Όχι;1-25%;5;4;3;1;Όχι
26;12/25/24 18:37:24;12/25/24 18:41:46;anonymous;;;21-30;Γυναίκα;Τομέας τουρισμού ;Ελάχιστη;Όχι;3;4;3;3;3;Ίσως;"Ταχύτερη ανάλυση δεδομένων;Αποφυγή συναισθηματικών λαθών;";"Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;";Εξαρτάται από την περίπτωση;Έναν έμπειρο επενδυτή;"Γρήγορη ανάλυση δεδομένων;Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;";"Ερμηνεία μη ποσοτικών δεδομένων (π.χ. συναισθήματα της αγοράς);Λήψη ηθικών αποφάσεων;";Ναι;Ίσως;"Κίνδυνος τεχνικών σφαλμάτων;";Ναι, πάντα;Εξαρτάται από το κόστος;1-25%;4;3;3;3;Δεν είμαι σίγουρος/η
